"DAX" "Dow Jones" "Nikkei" "VIX"
5875.910156 10552.519531 10585.919922 1506.717621
5885.890137 10564.379883 10567.650391 1522.072813
5936.720215 10567.330078 10563.919922 1528.470667
5928.629883 10611.839844 10664.950195 1540.62681
5945.109863 10624.69043 10751.259766 1525.91155
5903.560059 10642.150391 10751.980469 1529.110477
5970.990234 10685.980469 10721.709961 1482.405458
6024.279785 10733.669922 10846.980469 1432.501389
6012.310059 10779.169922 10744.030273 1412.667772
5982.430176 10741.980469 10824.719727 1429.302462
5987.5 10785.889648 10824.719727 1403.070869
6017.27002 10888.830078 10774.150391 1376.199466
6039 10836.150391 10815.030273 1411.388153
6132.950195 10841.209961 10828.849609 1427.383032
6120.049805 10850.360352 10996.370117 1406.909606
6156.850098 10895.860352 10986.469727 1380.678013
6142.450195 10907.419922 11097.139648 1362.124016
6153.549805 10856.629883 11089.94043 1344.209707
6235.560059 10927.070312 11244.400391 1344.849516
6235.560059 10927.070312 11286.089844 1344.849516
6235.560059 10973.549805 11339.299805 1293.665828
6252.209961 10969.990234 11282.320312 1252.079165
6222.410156 10897.519531 11292.830078 1279.590378
6171.830078 10927.070312 11168.200195 1261.676069
6249.700195 10997.349609 11204.339844 1250.799545
6250.689941 11005.969727 11251.900391 1247.600618
6230.830078 11019.419922 11161.230469 1260.396571
6278.399902 11123.110352 11204.900391 1225.207762
6291.450195 11144.570312 11273.790039 1219.449596
6180.899902 11018.660156 11102.179688 1277.670948
6162.439941 11092.049805 10908.769531 1240.562832
6264.22998 11117.05957 10900.679688 1168.905839
6230.379883 11124.919922 11090.049805 1189.379266
6168.720215 11134.290039 10949.089844 1179.782363
6259.529785 11204.280273 10914.459961 1175.303816
6332.100098 11205.030273 11165.790039 1193.857813
6159.509766 10991.990234 11212.660156 1311.580137
6084.339844 11045.269531 10924.790039 1304.542351
6144.910156 11167.320312 10924.790039 1252.718975
6135.700195 11008.610352 11057.400391 1357.005537
6166.919922 11151.830078 11057.400391 1300.703614
6006.859863 10926.769531 11057.400391 1431.221891
5958.450195 10866.830078 11057.400391 1493.281981
5908.259766 10520.320312 10695.69043 1671.145087
5715.089844 10380.429688 10364.589844 1871.400928
6017.910156 10785.139648 10530.700195 1604.606329
6037.709961 10748.259766 10411.099609 1639.795015
6183.490234 10896.910156 10394.030273 1540.62681
6251.970215 10782.950195 10620.549805 1582.213473
6056.709961 10620.160156 10462.509766 1718.489916
6066.919922 10625.830078 10235.759766 1758.15715
6155.930176 10510.950195 10242.639648 1863.723332
5988.669922 10444.370117 10186.839844 1909.788663
5867.879883 10068.009766 10030.30957 2179.782189
5829.25 10193.389648 9784.540039 2131.157862
5805.680176 10066.570312 9758.400391 2119.001597
5670.040039 10043.75 9459.889648 2025.591558
5758.02002 9974.450195 9522.660156 1985.284515
5937.140137 10258.990234 9639.719727 1812.539765
5946.180176 10136.629883 9762.980469 1828.534645
5964.330078 10136.629883 9768.700195 1828.534645
5981.27002 10024.019531 9711.830078 1931.541709
5981.200195 10249.540039 9603.240234 1847.088764
6054.629883 10255.280273 9914.19043 1817.018312
5938.879883 9931.969727 9901.19043 2001.919205
5904.950195 9816.490234 9520.799805 2064.619104
5868.549805 9939.980469 9537.94043 1992.322179
5984.75 9899.25 9439.129883 1994.881419
6056.589844 10172.530273 9542.650391 1891.874354
6047.830078 10211.070312 9705.25 1845.809144
6125 10190.889648 9879.849609 1818.937742
6175.049805 10404.769531 9887.889648 1708.253203
6190.910156 10409.459961 10067.150391 1680.741991
6223.540039 10434.169922 9999.400391 1632.757351
6216.97998 10450.639648 9995.019531 1603.966519
6292.970215 10442.410156 10238.009766 1630.198112
6269.040039 10293.519531 10112.889648 1694.817441
6204.52002 10298.44043 9923.700195 1708.892891
6115.47998 10152.799805 9928.339844 1813.819385
6070.600098 10143.80957 9737.480469 1773.51222
6157.220215 10138.519531 9693.94043 1802.942862
5952.029785 9870.299805 9570.669922 1969.929445
5965.52002 9774.019531 9382.639648 1996.161038
5857.430176 9732.530273 9191.599609 1976.967109
5834.149902 9686.480469 9203.709961 1918.745757
5816.200195 9686.480469 9266.780273 1918.745757
